SMILE,IP,EA,HomoLumoGap
C(C(F)(F)F)(C(F)(F)F)O,0.423468673,-0.137798679,0.372
 C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F  ,0.381240875,-0.072472079,0.26959
 C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,-0.0511963,0.29259
 C(C(F)(F)Cl)(F)F  ,0.441424512,-0.089009338,0.33465
 C(C(F)(F)F)(OC(F)F)Cl,0.42667495,-0.07575042,0.31563
 C(C(OC(F)F)(F)F)(F)Cl  ,0.42450555,-0.08819666,0.32441
 C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F ,0.43546974,-0.11220313,0.38841
 C(Cl)Cl ,0.414567615,-0.073366255,0.29323
 C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.37694324,-0.07902519,0.29406
 C(F)Cl ,0.422616145,-0.114412705,0.32476
 C(OC(OC(F)F)(F)F)(F)F  ,0.452414836,-0.170784407,0.46278
 CC(F)(Cl)Cl  ,0.40817283,-0.06362906,0.28849
C(#N)C(C(F)(F)F)(C(F)(F)F)F ,0.460778278,-0.045651207,0.32379
C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,-0.040775006,0.25182
C(=C(/C(F)(F)F)\F)\F,0.387456284,-0.081865793,0.26508
C(=C(/F)\Cl)(\F)/Cl  ,0.34915741,-0.06960847,0.24204
C(=C(\C(F)(F)F)/F)\F,0.38680363,-0.078676595,0.26133
C(=C(Cl)Cl)(Cl)Cl,0.34069019,-0.03826466,0.22142
C(=C(Cl)Cl)(F)F,0.34990958,-0.07309798,0.24667
C(=C(Cl)Cl)Cl,0.34557732,-0.05399329,0.2316
C(=C(F)F)(C(=C(F)F)F)F,0.322808574,-0.052947202,0.2002
C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,-0.066658337,0.25522
C(=C(F)F)(C(C(F)(F)F)(F)F)F ,0.381971942,-0.072161368,0.26111
C(=C(F)F)(C(F)(F)F)F,0.385783705,-0.084676947,0.26608
C(=C(F)F)(F)F,0.367042484,-0.140748955,0.2841
C(=C(F)F)(OC(F)(F)F)F,0.369837428,-0.110437553,0.27597
C(=C(F)F)F,0.367537859,-0.134661826,0.28046
C(=C/Cl)\C(F)(F)F  ,0.380799562,-0.054501372,0.25117
C(=C/Cl)\F  ,0.357129643,-0.097376176,0.25675
C(=C/F)\C(F)(F)F,0.395292688,-0.080720398,0.27302
C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,-0.033431564,0.26327
C(=C\F)\C(F)(F)F,0.394313412,-0.075322411,0.26707
C(=CC(F)(F)F)C(F)(F)F,0.420768808,-0.03959119,0.27159
C(=CCl)C(F)(F)F ,0.380799567,-0.054501368,0.25117
C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.01439948,0.21221
C(Br)(Br)Br,0.3652842,-0.00429108,0.20765
C(Br)Br ,0.37603692,-0.04564583,0.24224
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F  ,0.42710509,-0.08330107,0.3597
C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,-0.11445633,0.37523
C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,-0.118131188,0.33801
C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,-0.126354823,0.3478
C(C(C(F)(F)Cl)(F)F)(F)Cl  ,0.41301378,-0.06068886,0.31399
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F ,0.43155834,-0.10653184,0.36586
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F ,0.45274427,-0.11874679,0.39637
C(C(C(F)(F)F)(F)F)(F)F,0.444128271,-0.146483982,0.40148
C(C(C(F)(F)F)(F)F)F,0.442388325,-0.138171478,0.39405
C(C(C(F)(F)F)(F)F)O,0.402461134,-0.13416049,0.3498
C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,-0.09893422,0.37426
C(C(C(F)(F)F)F)F,0.441109306,-0.135181198,0.38883
C(C(C(F)F)(F)F)F,0.425993591,-0.144049611,0.38625
C(C(C(F)F)(F)F)O,0.391070215,-0.137037425,0.34576
C(C(C(F)F)(F)F)OC(F)F,0.41273935,-0.139536222,0.38321
C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,-0.0206872,0.26619
C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,-0.02413213,0.26783
C(C(Cl)Cl)(F)F ,0.41720555,-0.06150521,0.29595
C(C(F)(Cl)Cl)(Cl)Cl ,0.39143845,-0.02880397,0.26726
C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,-0.02792182,0.28124
C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,-0.04029044,0.29286
C(C(F)(Cl)Cl)(F)(F)F,0.43024014,-0.04854384,0.29392
C(C(F)(Cl)Cl)(F)Cl  ,0.40705172,-0.03901046,0.28215
C(C(F)(Cl)Cl)F  ,0.41872573,-0.05778599,0.29288
C(C(F)(F)Br)(F)(F)Br ,0.39522931,-0.01531468,0.24622
C(C(F)(F)Cl)(Cl)Cl ,0.40670093,-0.04148207,0.28432
C(C(F)(F)Cl)(F)(F)Cl,0.43310363,-0.0657485,0.32408
C(C(F)(F)Cl)(F)(F)F ,0.4565249,-0.08459308,0.33644
C(C(F)(F)Cl)(F)Cl ,0.42559675,-0.0689971,0.31698
C(C(F)(F)F)(C(F)(F)F)(F)F  ,0.465475764,-0.145627378,0.42021
C(C(F)(F)F)(C(F)(F)F)F,0.46716158,-0.135396352,0.41225
C(C(F)(F)F)(Cl)Br ,0.40330832,-0.03906782,0.25572
C(C(F)(F)F)(Cl)Cl ,0.42308256,-0.05666273,0.29568
C(C(F)(F)F)(F)(F)F,0.494092245,-0.191544565,0.47485
C(C(F)(F)F)(F)Br  ,0.41074817,-0.06402068,0.27328
C(C(F)(F)F)(F)Cl  ,0.434961906,-0.090618587,0.32506
C(C(F)(F)F)(F)F,0.466143167,-0.182417438,0.43772
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,-0.11831992,0.41176
C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,-0.158402893,0.44026
C(C(F)(F)F)(OC(F)F)F,0.449640889,-0.162287933,0.43354
C(C(F)(F)F)Br ,0.40375793,-0.07171444,0.27033
C(C(F)(F)F)C(F)(F)F,0.475636481,-0.161763272,0.46237
C(C(F)(F)F)Cl  ,0.431566028,-0.096790179,0.31956
C(C(F)(F)F)F,0.465805406,-0.167768408,0.42813
C(C(F)(F)F)O,0.41202365,-0.151136567,0.36098
C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,-0.13980736,0.40703
C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,-0.137440918,0.40175
C(C(F)(F)F)OC(F)(F)F,0.450522174,-0.159293268,0.4162
C(C(F)(F)F)OC(F)F,0.434837613,-0.164974143,0.41141
C(C(F)(F)F)OC=O,0.41206806,-0.091208606,0.29053
C(C(F)(F)F)OCC(F)(F)F,0.390384198,-0.137943535,0.35659
C(C(F)Cl)(F)Cl  ,0.41812027,-0.07325918,0.31375
C(C(F)Cl)Cl ,0.40263497,-0.06753868,0.29848
C(C(F)F)(C(F)(F)F)F,0.446135934,-0.135497046,0.39126
C(C(F)F)(C(F)F)F,0.425523876,-0.137884465,0.38037
C(C(F)F)(F)F,0.44230689,-0.180812396,0.41552
C(C(F)F)(OC(F)(F)F)F,0.443660829,-0.158507004,0.41983
C(C(F)F)C(F)(F)F,0.448141575,-0.168001068,0.43359
C(C(F)F)F,0.437768714,-0.17073717,0.40601
C(C(F)F)O,0.395412296,-0.159027348,0.35736
C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,-0.137700317,0.38777
C(C(F)F)OC(C(F)F)(F)F,0.412228567,-0.139451699,0.38723
C(C(F)F)OC(F)(F)F,0.421283431,-0.159982744,0.39895
C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,-0.13445993,0.41661
C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,-0.12745314,0.41088
C(C=O)C(F)(F)F,0.384324082,-0.057437175,0.22868
C(CBr)Br,0.36698874,-0.04744323,0.2502
C(CC(F)(F)F)CO,0.383171433,-0.140146978,0.34344
C(CCl)Cl ,0.397082481,-0.076693792,0.30045
C(CF)F,0.435398311,-0.168545693,0.39959
C(CF)O,0.385083898,-0.166996319,0.35533
C(Cl)(Cl)(Cl)Cl ,0.40852219,-0.00073784,0.2469
C(Cl)(Cl)Cl  ,0.4066057,-0.03379489,0.26614
C(Cl)Br,0.38953315,-0.05686502,0.25797
C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.37929881,-0.09606565,0.30746
C(CO)C(F)(F)F,0.390538614,-0.154911782,0.35691
C(CO)C(F)(F)F  ,0.392805693,-0.143236939,0.34552
C(F)(Cl)(Cl)Cl,0.41484832,-0.02017459,0.26004
C(F)(Cl)Cl,0.4224273,-0.06286567,0.29459
C(F)(F)(Br)Br ,0.39051257,-0.01953755,0.22834
C(F)(F)(Cl)Br  ,0.41649533,-0.03301127,0.24998
C(F)(F)(Cl)Cl,0.43204057,-0.05132536,0.29035
C(F)(F)(F)Br ,0.42967108,-0.06963154,0.28013
C(F)(F)(F)Cl,0.46668444,-0.100428753,0.34132
C(F)(F)(F)F,0.552391616,-0.300664529,0.60756
C(F)(F)(F)S(F)(F)(F)(F)F ,0.48719863,-0.01694857,0.31006
C(F)(F)Br,0.41649525,-0.07931005,0.28107
C(F)(F)Cl  ,0.450858998,-0.107018621,0.33856
C(F)(F)F  ,0.513551347,-0.220811165,0.50549
C(F)F ,0.462914254,-0.199090147,0.44412
C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,-0.139102222,0.38006
C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,0.42209997,-0.10784641,0.40549
C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.42972064,-0.12238995,0.40972
C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F ,0.44077539,-0.13627213,0.42476
C(OC(F)(F)F)(F)F,0.47727846,-0.191236976,0.47323
C(OC(F)F)(F)F,0.46223828,-0.18825696,0.46523
C=C(C(F)(F)F)C(F)(F)F,0.420570216,-0.042582466,0.27334
C=C(C(F)(F)F)F,0.395688332,-0.079605069,0.27158
C=C(F)F,0.374979178,-0.134322125,0.28947
C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.38933076,-0.04839982,0.27212
C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F ,0.39444207,-0.05330489,0.27227
C=CC(C(C(F)(F)F)(F)F)(F)F,0.396643015,-0.057370464,0.27259
C=CC(C(F)(F)F)(F)F,0.400060601,-0.065103318,0.27422
C=CC(F)(F)F,0.403786882,-0.076706918,0.27809
C=CCOC(=O)C(F)(F)F,0.366368943,-0.058972677,0.24274
C=CF,0.374231874,-0.126083181,0.28154
C=COC(=O)C(F)(F)F,0.368239439,-0.037125288,0.22521
C=COCC(F)(F)F,0.33623079,-0.121188592,0.26885
CBr ,0.38708764,-0.09880752,0.27494
CC(=O)C(F)(F)F,0.385391595,-0.046320215,0.22636
CC(C(F)(F)F)(F)F,0.44720753,-0.176548456,0.43408
CC(C)(F)F,0.422796813,-0.165457053,0.41703
CC(C)Br,0.36951547,-0.08732849,0.26734
CC(C)Cl,0.39144981,-0.111519423,0.31386
CC(CC(F)(F)F)(F)F,0.433993344,-0.151148554,0.41863
CC(Cl)(Cl)Cl,0.39595577,-0.03598373,0.26298
CC(F)(F)Cl ,0.436173907,-0.102814918,0.32984
CC(F)(F)F,0.482135692,-0.188740591,0.48056
CC(F)F,0.440398492,-0.184950293,0.43548
CCBr,0.37702165,-0.09448093,0.2721
CCC(=O)C(F)(F)F,0.377949624,-0.04552587,0.22668
CCC(F)(F)F,0.450925692,-0.167247538,0.44822
CCCBr  ,0.37396719,-0.08854128,0.27139
CCCCCl ,0.390299252,-0.110923528,0.31668
CCCl ,0.400733681,-0.118569972,0.31872
CCF,0.433784461,-0.179827361,0.42342
CCl ,0.414108329,-0.122852815,0.32194
CCOC(=O)C(F)(F)F,0.39964439,-0.06849078,0.27347
CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41007766,-0.12184258,0.37148
CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F  ,0.41554179,-0.11167711,0.35809
CCOC(C(C(F)(F)F)F)(F)F,0.408771564,-0.13698686,0.37146
CCOC(C(F)F)(F)F,0.406165483,-0.155236286,0.3979
CCOC(F)(F)F,0.41660236,-0.168988235,0.41302
CF ,0.467051091,-0.195219531,0.43841
COC(=O)C(F)(F)F,0.407841876,-0.068988871,0.27392
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.41636913,-0.12102041,0.37476
COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F  ,0.39501384,-0.08203205,0.32127
COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,0.42672527,-0.11101518,0.36263
COC(C(C(F)(F)F)(F)F)(F)F,0.425652853,-0.139499737,0.39037
COC(C(C(F)(F)F)F)(F)F,0.419893223,-0.137891143,0.37654
COC(C(C(F)F)(F)F)(F)F,0.411710977,-0.141663139,0.38593
COC(C(F)(F)F)(C(F)(F)F)F,0.411462808,-0.138737095,0.37417
COC(C(F)(F)F)(F)F,0.432078413,-0.162607832,0.41061
COC(C(F)(F)F)C(F)(F)F,0.387988684,-0.139938644,0.35212
COC(C(F)Cl)(F)F  ,0.402516034,-0.099723364,0.32347
COC(C(OC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,0.38929453,-0.12740892,0.39374
COC(F)(F)F,0.433571628,-0.1837117,0.42573
COCC(C(F)(F)F)(F)F,0.37282148,-0.137866954,0.33713
COCC(C(F)F)(F)F,0.362325373,-0.138579846,0.33121
COCC(F)(F)F,0.37569168,-0.156082284,0.35254
FC(F)(F)C(OC(F)F)C(F)(F)F,0.43157393,-0.13759502,0.39668
FC(F)(OC(F)F)C(F)(F)OC(F)F,0.43449436,-0.14223169,0.42663
FC(F)(OC)C(F)(F)OC,0.39352519,-0.154643989,0.39965
FC(F)OC,0.416288795,-0.19329494,0.4183
FS(F)(F)(F)(F)F  ,0.536314379,-0.019859577,0.33848
N(F)(F)F,0.484370715,-0.149762933,0.3711
O=COC(F)(F)C(F)(F)F,0.420344907,-0.06595397,0.27934
O=S(=O)(F)F,0.482147797,-0.073929448,0.33379
OCCF,0.385074629,-0.166982671,0.35533
