index,SMILE,IP,qed,FractionCSP3,Chi2v,MinAbsEStateIndex,VSA_EState8,fr_alkyl_halide,BCUT2D_LOGPHI,fr_methoxy,SPS,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,0.5427331254389619,1.0,1.4857615563239732,4.2361111111111125,0.0,6,2.320402298542501,0,14.4,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,0.5871354807043392,0.6,1.9999392786391008,1.1379166666666674,0.0,7,2.4650697447410557,0,15.384615384615385,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,0.45341180918742213,1.0,2.5176864941752854,2.7569444444444455,0.0,7,2.4106088014171245,0,14.4,2.136720567
3,C(C(F)(F)Cl)(F)F,0.441424512,0.3824913854914838,1.0,1.3462412257102054,3.7692901234567913,0.0,5,2.257729413346108,0,12.857142857142858,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,0.4728712952679373,1.0,1.6507872917510102,2.9216820987654324,-3.5100694444444445,6,2.263937846085508,0,15.9,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,0.48329409286155045,1.0,1.6241764533060352,2.525462962962963,-3.7435185185185196,6,2.272654716583178,0,15.9,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,0.5165751014110705,1.0,3.27082965726316,1.3937308673469389,0.0,14,2.5113443173601584,0,18.0,4.012837225
7,C(Cl)Cl,0.414567615,0.3899621067041534,1.0,0.9091372900969896,0.19444444444444464,0.0,2,1.7266753099347363,0,6.0,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,0.5971802928745348,1.0,4.547779834123849,2.0700941279289484,-2.0700941279289484,15,2.6206547191557967,0,16.32,-0.347753659
9,C(F)Cl,0.422616145,0.3737343558390309,1.0,0.3030457633656632,0.7777777777777777,0.0,2,1.6508954077685765,0,6.0,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,0.4910393395339294,1.0,1.220376407399968,2.3795833333333336,-7.743055555555557,6,2.2248000950478524,0,13.090909090909092,3.782472624
11,CC(F)(Cl)Cl,0.40817283,0.4259022902552142,1.0,2.3943042269608665,1.0516975308641978,1.0516975308641978,3,2.188314215756155,0,12.0,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.5438935986765442,0.75,1.765794891717179,0.4583333333333335,0.0,7,2.448737341214894,0,14.166666666666666,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,0.5261212634391369,0.5,1.6234826110944962,3.768518518518518,0.0,6,2.367274446324797,0,16.0,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,0.44344728909575376,0.3333333333333333,0.9548056448283403,1.125,0.0,3,2.2537942961919173,0,14.375,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,0.47571065063195817,0.0,1.184500374589883,1.5030864197530855,0.0,0,2.138931400049142,0,14.0,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,0.44344728909575376,0.3333333333333333,0.9548056448283403,1.125,0.0,3,2.2537942961919173,0,14.375,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.5179764020153201,0.0,2.4196077047419675,0.09876543209876476,0.0,0,2.1955219623417714,0,8.0,0.802089258
18,C(=C(Cl)Cl)(F)F,0.34990958,0.47571065063195817,0.0,1.4702146603041688,0.9629629629629626,0.0,0,2.1433879929240627,0,8.0,-1.677780705
19,C(=C(Cl)Cl)Cl,0.34557732,0.4737750586148194,0.0,1.6248376489191085,0.08950617283950679,0.0,0,2.0542662292372316,0,7.0,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,0.40998695990753725,0.0,1.1487860888755972,2.8194444444444438,0.0,0,2.2325182330389555,0,9.0,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,0.5695133913062662,0.5,1.6465451579182315,3.6830324074074072,0.0,5,2.4249929919444093,0,13.0,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,0.5695133913062662,0.5,1.6465451579182315,3.6830324074074072,0.0,5,2.4249929919444093,0,13.0,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,0.4653113245049681,0.3333333333333333,1.0721521134804333,3.331018518518518,0.0,3,2.2928221944299443,0,11.333333333333334,-1.045757491
24,C(=C(F)F)(F)F,0.367042484,0.4081112544268904,0.0,0.52082161586637,2.9074074074074066,0.0,0,2.0752478884996903,0,8.0,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,0.4292130335586439,0.3333333333333333,1.0819184856273212,2.162037037037037,0.0,3,2.2327577875080955,0,11.0,-2.0
26,C(=C(F)F)F,0.367537859,0.4168058255363289,0.0,0.39875540678256,0.75,0.0,0,1.9315112436557258,0,7.0,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.4720737424715008,0.3333333333333333,1.086243689315597,0.04706790123456761,0.0,3,2.1525877209353586,0,13.142857142857142,0.588831726
28,C(=C/Cl)\F,0.357129643,0.41520184119842773,0.0,0.5039526306789698,0.26543209876543217,0.0,0,1.732131297595268,0,9.5,-2.397940009
29,C(=C/F)\C(F)(F)F,0.395292688,0.42244900321100093,0.3333333333333333,0.834267373976112,0.4791666666666665,0.0,3,2.1480954250071633,0,13.142857142857142,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.38101677762069575,0.5,1.416558432612739,0.8541666666666665,0.0,6,2.2174446747373597,0,14.6,0.318063335
31,C(=C\F)\C(F)(F)F,0.394313412,0.42244900321100093,0.3333333333333333,0.834267373976112,0.4791666666666665,0.0,3,2.1480954250071633,0,13.142857142857142,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.38101677762069575,0.5,1.416558432612739,0.8541666666666665,0.0,6,2.2174446747373597,0,13.0,1.252853031
33,C(=CCl)C(F)(F)F,0.380799567,0.4720737424715008,0.3333333333333333,1.086243689315597,0.04706790123456761,0.0,3,2.1525877209353586,0,10.857142857142858,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.7117613075318905,0.8333333333333334,3.055267751554555,4.9930555555555545,0.0,12,2.5140506458605447,0,15.578947368421053,-0.943095149
35,C(Br)(Br)Br,0.3652842,0.5812778100557083,1.0,6.680767400622813,0.27083333333333326,0.0,3,2.131510843773625,0,9.0,-0.602059991
36,C(Br)Br,0.37603692,0.49009217871797,1.0,2.727411870290968,0.875,0.0,2,1.8300848860732386,0,6.0,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,0.6573124695290602,1.0,3.293090315836464,7.4845153061224465,0.0,14,2.5979390014527524,0,16.5,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,0.626964147987803,1.0,1.9958148790672414,5.07951388888889,0.0,9,2.4836888323444075,0,15.23076923076923,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,0.6736471786433598,1.0,1.9347147416310977,2.556041666666667,-2.556041666666667,7,2.4541563170800313,0,15.0,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,0.6415154404025608,1.0,1.8233137389904406,2.159050925925926,-2.159050925925926,6,2.336677127029468,0,16.636363636363637,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,0.47748784418387724,1.0,2.279293466852799,3.4861111111111116,0.0,7,2.419335668049369,0,17.1,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,0.6732319281386244,1.0,2.7186972713986655,7.258749999999999,0.0,12,2.569350869783072,0,16.235294117647058,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,0.6139900655067855,1.0,2.1443042269608665,6.966249999999999,0.0,10,2.527928368302267,0,15.857142857142858,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,0.5298835509469577,1.0,1.4214218346294432,4.70138888888889,0.0,7,2.3915447290247545,0,14.4,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0.442388325,0.5047221541678888,1.0,1.335838435141093,2.697916666666667,-2.697916666666667,6,2.346923093476261,0,14.0,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0.402461134,0.5560995305933862,1.0,1.3603216971932997,2.197916666666667,-2.197916666666667,5,2.338065575561471,0,14.0,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,0.6602972019047446,1.0,2.465865423057733,4.894328703703705,0.0,10,2.434498175172428,0,18.8,3.204119983
48,C(C(C(F)(F)F)F)F,0.441109306,0.4798626577729781,1.0,1.1634523399138141,1.9965277777777777,-1.9965277777777777,5,2.2207402452616885,0,16.125,2.511883361
49,C(C(C(F)F)(F)F)F,0.425993591,0.5053432251246295,1.0,1.1953589698853564,2.300925925925926,-2.300925925925926,5,2.217984105724609,0,12.75,2.895974732
50,C(C(C(F)F)(F)F)O,0.391070215,0.5526723816351682,1.0,1.2198422319375632,1.800925925925926,-1.800925925925926,4,2.2032219420493453,0,12.75,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,0.6048073047522099,1.0,1.6333853540523997,1.9699074074074074,-5.428587962962964,6,2.229595955652151,0,13.090909090909092,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,0.5309872165345898,1.0,3.751447084103724,2.713734567901234,0.0,6,2.4416678280245043,0,14.25,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,0.5115647154654288,1.0,3.276750561884825,3.145833333333333,0.0,6,2.4232523084086424,0,14.25,3.59439255
54,C(C(Cl)Cl)(F)F,0.41720555,0.48231871701072077,1.0,1.8326913602002621,1.5370370370370374,0.0,4,2.105743092835505,0,11.0,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,0.5517222262770488,1.0,3.2321523469206124,1.3927469135802475,0.0,5,2.3227439567162347,0,12.857142857142858,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,0.5747806664420663,1.0,3.465732798389438,3.2538580246913575,0.0,6,2.4401539280910565,0,14.25,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,0.553756284383752,1.0,2.7053219904562535,3.6859567901234565,0.0,6,2.420074565788984,0,14.25,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,0.38773462792098856,1.0,2.2306254682373545,3.983024691358024,0.0,6,2.4001745680922943,0,14.25,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,0.5294245217189981,1.0,2.519062797379226,2.36496913580247,0.0,5,2.3060903387383074,0,16.714285714285715,2.389166084
60,C(C(F)(Cl)Cl)F,0.41872573,0.4823281568274539,1.0,2.1404735390782688,1.3649691358024691,-1.3649691358024691,4,2.2116500023937586,0,12.0,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,0.5017968617223129,1.0,2.9874170998445164,1.46875,0.0,6,2.4293941544892226,0,14.25,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,0.5294245217189981,1.0,2.4425058852560486,1.8248456790123464,0.0,5,2.294107624265415,0,12.857142857142858,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,0.4197132452520627,1.0,1.9449111825230676,3.793981481481481,0.0,6,2.3984794817081143,0,14.25,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,0.37122827303074213,1.0,1.4702146603041686,3.550925925925925,0.0,6,2.3769544868920596,0,14.25,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0.42559675,0.5067864119793105,1.0,1.7294163357146624,2.797067901234569,0.0,5,2.2756534976392397,0,16.714285714285715,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,0.5123885421431201,1.0,1.5699111825230678,6.578125,0.0,8,2.4636209008745054,0,15.272727272727273,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,0.4895108834234751,1.0,1.4457805568128046,4.7361111111111125,0.0,7,2.348021464027848,0,14.4,3.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,0.523506439863351,1.0,2.721600380221818,1.9166666666666672,0.0,5,2.280558348603273,0,16.714285714285715,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0.42308256,0.46817355207887645,1.0,1.9385737093057702,2.2569444444444455,0.0,5,2.264874687592644,0,12.857142857142858,1.95616843
70,C(C(F)(F)F)(F)(F)F,0.494092245,0.4494104524188936,1.0,0.9955181380852692,6.0625,0.0,6,2.3536590509342967,0,14.25,4.093421685
71,C(C(F)(F)F)(F)Br,0.41074817,0.3966205033876523,1.0,1.6462396328429685,1.703125,0.0,5,2.259779584294319,0,16.714285714285715,2.303196057
72,C(C(F)(F)F)(F)Cl,0.434961906,0.35334876064599263,1.0,1.2254841597643844,3.229166666666668,0.0,5,2.244323380444813,0,16.714285714285715,2.775974331
73,C(C(F)(F)F)(F)F,0.466143167,0.4274299240598743,1.0,0.8423090497599275,4.20138888888889,0.0,5,2.2242350393052033,0,12.857142857142858,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,0.7194741168571234,1.0,2.564439179782366,1.798541666666667,0.0,11,2.479433713454099,0,17.11764705882353,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,0.5709020914564944,1.0,1.4212515750195418,2.010416666666667,0.0,7,2.2920115486571975,0,16.636363636363637,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,0.5732475481548114,1.0,1.254395240240068,2.4895833333333335,-3.7531250000000007,6,2.244883970084244,0,15.9,3.413299764
77,C(C(F)(F)F)Br,0.40375793,0.47832900637313774,1.0,1.309542651983764,0.9166666666666665,0.0,4,2.1561590803414625,0,12.0,2.247973266
78,C(C(F)(F)F)C(F)(F)F,0.475636481,0.4675163824708429,1.0,1.4071318496053382,2.708333333333333,0.0,6,2.313129926926086,0,14.0,3.939019776
79,C(C(F)(F)F)Cl,0.431566028,0.42559296032518934,1.0,1.0160694400229873,1.2569444444444442,0.0,4,2.1440258012813658,0,12.0,2.588831726
80,C(C(F)(F)F)F,0.465805406,0.40653794072819166,1.0,0.7488081981105629,2.2291666666666665,-2.2291666666666665,4,2.1289031407741197,0,12.0,3.184691431
81,C(C(F)(F)F)O,0.41202365,0.4706748907200954,1.0,0.7732914601627696,1.7291666666666665,-1.7291666666666665,3,2.1069378396320526,0,12.0,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,0.6471636236161262,1.0,1.9183880113030403,2.375,-2.6532638888888886,8,2.3680746610923844,0,14.76923076923077,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,0.6353597676139614,1.0,1.7663501536938022,2.398472222222222,-2.398472222222222,7,2.2668669645357986,0,14.0,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,0.544353304875439,1.0,1.3495934509780156,2.295138888888889,-2.295138888888889,6,2.2183467897313305,0,13.8,3.041392685
85,C(C(F)(F)F)OC(F)F,0.434837613,0.54494256749566,1.0,1.1868345822776059,1.898148148148148,-5.253125000000001,5,2.1517068552868057,0,12.666666666666666,2.943494516
86,C(C(F)(F)F)OC=O,0.41206806,0.5119681281846417,0.6666666666666666,1.0224068559833617,0.2425694444444444,-1.7460416666666663,3,2.1280414329399675,0,10.875,1.738780558
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,0.5940785896706683,1.0,1.7231544341354457,1.8685416666666663,-3.737083333333333,6,2.183031316869009,0,13.636363636363637,1.387389826
88,C(C(F)Cl)(F)Cl,0.41812027,0.48231871701072077,1.0,1.5027769206633332,2.0771604938271606,0.0,4,2.1023337767657364,0,20.0,2.086359831
89,C(C(F)Cl)Cl,0.40263497,0.45870060220187114,1.0,1.3275592793873403,0.12345679012345667,0.0,3,1.9613320319260708,0,15.0,1.668385917
90,C(C(F)F)(C(F)(F)F)F,0.446135934,0.50471363803362,1.0,1.2778312443178255,3.981481481481482,0.0,6,2.2652553999485137,0,16.333333333333332,3.176091259
91,C(C(F)F)(C(F)F)F,0.425523876,0.505330255763941,1.0,1.1133362555167945,3.2962962962962967,0.0,5,2.1254744476695144,0,12.0,2.40654018
92,C(C(F)F)(F)F,0.44230689,0.44005067882216214,1.0,0.6689098504474343,3.481481481481482,0.0,4,2.0368252703069194,0,11.0,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,0.443660829,0.5732475481548114,1.0,1.2492047964454989,2.2824074074074074,0.0,6,2.215037457622052,0,15.9,3.100370545
94,C(C(F)F)C(F)(F)F,0.448141575,0.4819942139803816,1.0,1.2103870321946981,2.0069444444444446,0.0,5,2.2247375775856493,0,12.75,2.983175072
95,C(C(F)F)F,0.437768714,0.44775035934082064,1.0,0.5453886597705079,1.5277777777777777,-1.5277777777777777,3,1.8819472535410462,0,9.6,2.561101384
96,C(C(F)F)O,0.395412296,0.48017709055434443,1.0,0.5736594956434714,1.0277777777777777,-1.0277777777777777,2,1.841268753962773,0,9.6,0.790988475
